Слово,Транскрипция
фужерный,fʊˈʐɛrnɨɪ̯
фузариоз,fʊzərʲɪˈos
фузариум,fʊˈzarʲɪʊm
фузея,fʊˈzʲeɪ̯ə
фузилёр,fʊzʲɪˈlʲɵr
фузионный,fʊzʲɪˈonːɨɪ̯
фузиформный,fʊzʲɪˈformnɨɪ̯
фуй,fuɪ̯
фук,fuk
фуканье,ˈfukənʲɪ̯ə
фукать,ˈfukətʲ
фукнуть,ˈfuknʊtʲ
фукс,fuks
фуксин,fʊˈksʲin
фуксиновый,fʊˈksʲinəvɨɪ̯
фуксия,ˈfuksʲɪɪ̯ə
фуксом,ˈfuksəm
фукус,ˈfukʊs
фукусовый,ˈfukʊsəvɨɪ̯
фуле,fʊˈlʲe
фульгурит,fʊlʲɡʊˈrʲit
фульгуриты,fʊlʲɡʊˈrʲit
фуляр,fʊˈlʲar
фуляровый,fʊˈlʲarəvɨɪ̯
фумарола,fʊmɐˈroɫə
фумигант,fʊmʲɪˈɡant
фумиганты,fʊmʲɪˈɡant
фумигатор,fʊmʲɪˈɡatər
фумигация,fʊmʲɪˈɡat͡sɨɪ̯ə
фунгицид,fʊnɡʲɪˈt͡sɨt
фунгицидный,fʊnɡʲɪˈt͡sɨdnɨɪ̯
фунгициды,fʊnɡʲɪˈt͡sɨt
фундамент,fʊnˈdamʲɪnt
фундаментализм,fʊndəmʲɪntɐˈlʲizm
фундаменталист,fʊndəmʲɪntɐˈlʲist
фундаменталистский,fʊndəmʲɪntɐˈlʲisːkʲɪɪ̯
фундаментально,fʊndəmʲɪnˈtalʲnə
фундаментальность,fʊndəmʲɪnˈtalʲnəsʲtʲ
фундаментальный,fʊndəmʲɪnˈtalʲnɨɪ̯
фундаментный,fʊnˈdamʲɪntnɨɪ̯
фундаментостроение,fʊnˌdamʲɪntəstrɐˈjenʲɪɪ̯ə
фундаментщик,fʊnˈdamʲɪnʲɕːɪk
фундирование,fʊnʲˈdʲirəvənʲɪɪ̯ə
фундировать,fʊnʲˈdʲirəvətʲ
фундироваться,fʊnʲˈdʲirəvət͡sə
фундук,fʊnˈduk
фуникулер,fʊnʲɪkʊˈlʲɵr
фуникулёр,fʊnʲɪkʊˈlʲɵr
фуникулёрный,fʊnʲɪkʊˈlʲɵrnɨɪ̯
функия,ˈfunkʲɪɪ̯ə
функтор,ˈfunktər
функционал,fʊnkt͡sɨɐˈnaɫ
функционализм,fʊnkt͡sɨənɐˈlʲizm
функционалист,fʊnkt͡sɨənɐˈlʲist
функционально,fʊnkt͡sɨɐˈnalʲnə
функциональность,fʊnkt͡sɨɐˈnalʲnəsʲtʲ
функциональный,fʊnkt͡sɨɐˈnalʲnɨɪ̯
функционер,fʊnkt͡sɨɐˈnʲer
функционирование,fʊnkt͡sɨɐˈnʲirəvənʲɪɪ̯ə
функционировать,fʊnkt͡sɨɐˈnʲirəvətʲ
функция,ˈfunkt͡sɨɪ̯ə
фунт,funt
фунтик,ˈfunʲtʲɪk
фунтовик,fʊntɐˈvʲik
фунтовый,ˈfuntəvɨɪ̯
фура,ˈfurə
фураж,fʊˈraʂ
фуражечка,fʊˈraʐɨt͡ɕkə
фуражечный,fʊˈraʐɨt͡ɕnɨɪ̯
фуражир,fʊrɐˈʐɨr
фуражирование,fʊrɐˈʐɨrəvənʲɪɪ̯ə
фуражировать,fʊrɐˈʐɨrəvətʲ
фуражировка,fʊrəʐɨˈrofkə
фуражка,fʊˈraʂkə
фуражный,fʊˈraʐnɨɪ̯
фуран,fʊˈran
фурацилин,fʊrət͡sɨˈlʲin
фургон,fʊrˈɡon
фургонный,fʊrˈɡonːɨɪ̯
фургончик,fʊrˈɡonʲt͡ɕɪk
фургонщик,fʊrˈɡonʲɕːɪk
фурия,ˈfurʲɪɪ̯ə
фуркация,fʊrˈkat͡sɨɪ̯ə
фурлонг,fʊrˈɫonk
фурма,ˈfurmə
фурман,ˈfurmən
фурманка,fʊrˈmankə
фурманщик,fʊrˈmanʲɕːɪk
фурменный,ˈfurmʲɪn(ː)ɨɪ̯
фурнитура,fʊrnʲɪˈturə
фурнитурный,fʊrnʲɪˈturnɨɪ̯
фурнитурщик,fʊrnʲɪˈturɕːɪk
фурор,fʊˈror
фуросемид,fʊrəsʲɪˈmʲit
фурри-арт,ˌfurʲɪˈart
фуррик,ˈfurʲːɪk
фуррь,furʲ
фуррятник,fʊˈrʲætʲnʲɪk
фурункул,fʊˈrunkʊɫ
фурункулёз,fʊrʊnkʊˈlʲɵs
фурункулёзный,fʊrʊnkʊˈlʲɵznɨɪ̯
фурфурол,fʊrfʊˈroɫ
фурчать,fʊrˈt͡ɕætʲ
фуршет,fʊrˈʂɛt
фуршетный,fʊrˈʂɛtnɨɪ̯
фурштат,fʊrˈʂtat
фурштатский,fʊrˈʂtat͡skʲɪɪ̯
фурщик,ˈfurɕːɪk
фурьер,fʊˈrʲjer
фурьеризм,fʊrʲɪ̯ɪˈrʲizm
фурьерист,fʊrʲɪ̯ɪˈrʲist
фуст,fust
фустик,ˈfusʲtʲɪk
фут,fut
футбол,fʊdˈboɫ
футболист,fʊdbɐˈlʲist
футболистка,fʊdbɐˈlʲistkə
футболить,fʊdˈbolʲɪtʲ
футболка,fʊdˈboɫkə
футболочка,fʊdˈboɫət͡ɕkə
футбольно-легкоатлетический,fʊdˈbolʲnə lʲɪxkɐɐtlʲɪˈtʲit͡ɕɪskʲɪɪ̯
футбольный,fʊdˈbolʲnɨɪ̯
футер,ˈfutɛr
футерование,fʊtɛrɐˈvanʲɪɪ̯ə
футерованный,fʊtɛˈrovən(ː)ɨɪ̯
футеровать,fʊtɛrɐˈvatʲ
футероваться,fʊtɛrɐˈvat͡sːə
футеровка,fʊtɛˈrofkə
футеровщик,fʊtɛˈrofɕːɪk
футзал,fʊd͡zˈzaɫ
футзалист,fʊd͡zzɐˈlʲist
футляр,fʊˈtlʲar
футлярный,fʊˈtlʲarnɨɪ̯
футлярчик,fʊˈtlʲart͡ɕɪk
футовый,ˈfutəvɨɪ̯
футокс,ˈfutəks
футор,ˈfutər
футуризм,fʊtʊˈrʲizm
футурист,fʊtʊˈrʲist
футуристически,fʊtʊrʲɪˈsʲtʲit͡ɕɪskʲɪ
футуристический,fʊtʊrʲɪˈsʲtʲit͡ɕɪskʲɪɪ̯
футуристка,fʊtʊˈrʲistkə
футуристски,fʊtʊˈrʲisːkʲɪ
футуристский,fʊtʊˈrʲisːkʲɪɪ̯; fʊtʊˈrʲist͡skʲɪɪ̯
футуролог,fʊtʊˈroɫək
футурологический,fʊtʊrəɫɐˈɡʲit͡ɕɪskʲɪɪ̯
футурология,fʊtʊrɐˈɫoɡʲɪɪ̯ə
футурум,fʊˈturʊm
футшток,fʊt͡ʂˈʂtok
фуфаечка,fʊˈfa(ɪ̯)ɪt͡ɕkə
фуфаечный,fʊˈfa(ɪ̯)ɪt͡ɕnɨɪ̯
фуфайка,fʊˈfaɪ̯kə
фуфло,fʊˈfɫo
фуфу,fʊˈfu
фуфыриться,fʊˈfɨrʲɪt͡sə
фуфырящийся,fʊˈfɨrʲɪɕːɪɪ̯sʲə
фухтель,ˈfuxtʲɪlʲ
фуэте,fʊɛˈtɛ
фынь,fɨnʲ
фырк,fɨrk
фырканье,ˈfɨrkənʲɪ̯ə
фыркать,ˈfɨrkətʲ
фыркнуть,ˈfɨrknʊtʲ
фырок,fɨˈrok
фырчанье,fɨrˈt͡ɕænʲɪ̯ə
фырчать,fɨrˈt͡ɕætʲ
фьельд,fʲjelʲt
фьеф,fʲjef
фьорд,fʲjɵrt
фьордовый,ˈfʲjɵrdəvɨɪ̯
фьюмингование,fʲjʉmʲɪnɡɐˈvanʲɪɪ̯ə
фьюмингованный,fʲjʉmʲɪnˈɡovən(ː)ɨɪ̯
фьюминговать,fʲjʉmʲɪnɡɐˈvatʲ
фьюминговаться,fʲjʉmʲɪnɡɐˈvat͡sːə
фьють,fʲjʉtʲ
фьючерс,ˈfʲjʉt͡ɕɪrs
фьючерсный,ˈfʲjʉt͡ɕɪrsnɨɪ̯
фьючерсы,ˈfʲjʉt͡ɕɪrs
фэбээровец,fɛbɛˈɛrəvʲɪt͡s
фэбээровский,fɛbɛˈɛrəfskʲɪɪ̯
фэн,fɛn
фэн-клуб,fɛn ˈkɫup
фэн-шуй,ˌfɛn ˈʂuɪ̯
фэнтези,ˈfɛntɛzʲɪ
фэр,fɛr
фээргэвский,fɛɛrˈɡɛfskʲɪɪ̯
фээсбэшник,fɛɛˈzbɛʂnʲɪk
фээсбэшный,fɛɛˈzbɛʂnɨɪ̯
фюзеляж,fʲʉzʲɪˈlʲaʂ
фюзеляжный,fʲʉzʲɪˈlʲaʐnɨɪ̯
фюйть,fʲʉɪ̯tʲ
фюльке,ˈfʲʉlʲkʲe
фюрер,ˈfʲurɛr
фюрерский,ˈfʲurɛrskʲɪɪ̯
фёдоровский,ˈfʲɵdərəfskʲɪɪ̯
фён,fʲɵn
Хвощев,ˈxvoɕːɪf
Хельсинки,ˈxʲelʲsʲɪnkʲɪ
Хенкин,ˈxʲenkʲɪn
Херасков,xʲɪˈraskəf
Хетагуров,xʲɪtɐˈɡurəf
Хныкин,ˈxnɨkʲɪn
Худобин,xʊˈdobʲɪn
Художилов,xʊdɐˈʐɨɫəf
Худяков,xʊdʲɪˈkof
Хусаинов,xʊsɐˈinəf
Хусейн,xʊˈsɛɪ̯n
Хуссейн,xʊˈsɛɪ̯n
хвала,xvɐˈɫa
хвалебно,xvɐˈlʲebnə
хвалебный,xvɐˈlʲebnɨɪ̯
хваление,xvɐˈlʲenʲɪɪ̯ə
хваленый,xvɐˈlʲɵnɨɪ̯
хваливать,ˈxvalʲɪvətʲ
хвалитель,xvɐˈlʲitʲɪlʲ
хвалительный,xvɐˈlʲitʲɪlʲnɨɪ̯
хвалить,xvɐˈlʲitʲ
хвалиться,xvɐˈlʲit͡sːə
хвалящий,ˈxvalʲɪɕːɪɪ̯
хвалящийся,xvɐˈlʲæɕːɪɪ̯sʲə
хвалёный,xvɐˈlʲɵnɨɪ̯
хванчкара,xvənʲt͡ɕkɐˈra
хварывать,ˈxvarɨvətʲ
хвастануть,xvəstɐˈnutʲ
хвастанье,ˈxvastənʲɪ̯ə
хвастать,ˈxvastətʲ
хвастаться,ˈxvastət͡sə
хвастливо,xvɐˈslʲivə
хвастливость,xvɐˈslʲivəsʲtʲ
хвастливый,xvɐˈslʲivɨɪ̯
хвастнуть,xvɐˈsnutʲ
хвастня,xvɐˈsʲnʲa
хвастовской,xvəstɐfˈskoɪ̯
хвастовство,xvəstɐfˈstvo
хвастун,xvɐˈstun
хвастунишка,xvəstʊˈnʲiʂkə
хвастунья,xvɐˈstunʲɪ̯ə
хват,xvat
хватание,xvɐˈtanʲɪɪ̯ə
хватануть,xvətɐˈnutʲ
хватательный,xvɐˈtatʲɪlʲnɨɪ̯
хватать,xvɐˈtatʲ
хвататься,xvɐˈtat͡sːə
хватить,xvɐˈtʲitʲ
хватиться,xvɐˈtʲit͡sːə
хватка,ˈxvatkə
хваткий,ˈxvatkʲɪɪ̯
хватко,ˈxvatkə
хваткость,ˈxvatkəsʲtʲ
хватнуть,xvɐtˈnutʲ
хвать,xvatʲ
хваченный,ˈxvat͡ɕɪn(ː)ɨɪ̯
хвоинка,xvɐˈinkə
хвоить,xvɐˈitʲ
хвойник,ˈxvoɪ̯nʲɪk
хвойный,ˈxvoɪ̯nɨɪ̯
хворание,xvɐˈranʲɪɪ̯ə
хворать,xvɐˈratʲ
хвораться,xvɐˈrat͡sːə
хвороба,xvɐˈrobə
хворост,ˈxvorəst
хворостина,xvərɐˈsʲtʲinə
хворостинка,xvərɐˈsʲtʲinkə
хворостинник,xvərɐˈsʲtʲinʲːɪk
хворостинный,xvərɐˈsʲtʲinːɨɪ̯
хворость,ˈxvorəsʲtʲ
хворостяной,xvərəsʲtʲɪˈnoɪ̯
хворый,ˈxvorɨɪ̯
хворь,xvorʲ
хвост,xvost
хвостастый,xvɐˈstastɨɪ̯
хвостатый,xvɐˈstatɨɪ̯
хвостать,xvɐˈstatʲ
хвостаться,xvɐˈstat͡sːə
хвостец,xvɐˈsʲtʲet͡s
хвостизм,xvɐˈsʲtʲizm
хвостик,ˈxvosʲtʲɪk
хвостист,xvɐˈsʲtʲist
хвостистка,xvɐˈsʲtʲistkə
хвостистый,xvɐˈsʲtʲistɨɪ̯
хвостишко,xvɐˈsʲtʲiʂkə
хвостище,xvɐˈsʲtʲiɕːɪ
хвостовик,xvəstɐˈvʲik
хвостовка,xvɐˈstofkə
хвостовой,xvəstɐˈvoɪ̯
хвостцовый,xvɐˈst͡sovɨɪ̯
хвощ,xvoɕː
хвощовый,xvɐˈɕːɵvɨɪ̯
хвоя,ˈxvoɪ̯ə
хе-хе,xʲe ˈxʲe
хеви-метал,ˌxɛvʲɪ ˈmʲetəɫ
хеви-металл,ˌxɛvʲɪ ˈmʲetəɫ
хевсур,xʲɪˈfsur
хевсурский,xʲɪˈfsurskʲɪɪ̯
хедер,ˈxʲedɛr
хедж,xʲet͡ʂʂ
хедж-фонд,xʲet͡ʂʂ ˈfont
хеджирование,xʲɪd͡ʐˈʐɨrəvənʲɪɪ̯ə
хеджировать,xʲɪd͡ʐˈʐɨrəvətʲ
хедив,xʲɪˈdʲif
хедлайнер,xɛˈdɫaɪ̯nʲɪr
хейлит,xʲɪɪ̯ˈlʲit
хек,xʲek
хелицеровые,xʲɪlʲɪˈt͡sɛrəvəɪ̯ə
хельсинкский,ˈxʲelʲsʲɪnskʲɪɪ̯
хемилюминесценция,ˌxʲemʲɪlʲʉmʲɪnʲɪˈst͡sɛnt͡sɨɪ̯ə
хемингуэевский,xʲɪmʲɪnɡʊˈɛ(ɪ̯)ɪfskʲɪɪ̯
хемогенный,xʲɪmɐˈɡʲenːɨɪ̯
хемолюминесценция,ˌxʲeməlʲʉmʲɪnʲɪˈst͡sɛnt͡sɨɪ̯ə
хеморецептор,ˌxʲemərʲɪˈt͡sɛptər
хеморецепция,ˌxʲemərʲɪˈt͡sɛpt͡sɨɪ̯ə
хемосинтез,ˌxʲemɐˈsʲintɛs
хемосинтетический,ˌxʲeməsʲɪntɛˈtʲit͡ɕɪskʲɪɪ̯
хемосорбция,xʲɪmɐˈsorpt͡sɨɪ̯ə
хемостерилянт,ˌxʲeməsʲtʲɪrʲɪˈlʲant
хемосфера,xʲɪmɐˈsfʲerə
хемотаксис,xʲɪmɐˈtaksʲɪs
хемотрон,xʲɪmɐˈtron
хемотроника,xʲɪmɐˈtronʲɪkə
хемотропизм,ˌxʲemətrɐˈpʲizm
хемофоссилия,ˌxʲeməfɐˈsʲilʲɪɪ̯ə
хемоядерный,ˌxʲemɐˈjædʲɪrnɨɪ̯
хенекен,ˈxʲenʲɪkʲɪn
хеппенинг,ˈxɛpʲɪnʲɪnk
хеппи-энд,ˌxɛpʲɪ ˈɛnt
хер,xʲer
херем,ˈxʲerʲɪm
херес,ˈxʲerʲɪs
херить,ˈxʲerʲɪtʲ
херня,xʲɪrˈnʲa
херсонец,xʲɪrˈsonʲɪt͡s
херсонский,xʲɪrˈsonskʲɪɪ̯
херувим,xʲɪrʊˈvʲim
херувимский,xʲɪrʊˈvʲimskʲɪɪ̯
херувимчик,xʲɪrʊˈvʲimt͡ɕɪk
хет-трик,ˌxɛt ˈtrʲik
хетогнат,xʲɪtɐˈɡnat
хетт,xʲet
хеттеянка,xʲɪtʲɪˈjankə
хеттолог,xʲɪˈtoɫək
хеттология,xʲɪtɐˈɫoɡʲɪɪ̯ə
хеттский,ˈxʲet͡skʲɪɪ̯
хетты,xʲet
хеш,xɛʂ
хеш-код,ˌxʲeʂ ˈkot
хеш-кодирование,ˌxʲeʂ kɐˈdʲirəvənʲɪɪ̯ə
хеш-функция,ˌxʲeʂ ˈfunkt͡sɨɪ̯ə
хеширование,xʲɪˈʂɨrəvənʲɪɪ̯ə
хм,xm
хмарь,xmarʲ
хмелевод,xmʲɪlʲɪˈvot
хмелеводство,xmʲɪlʲɪˈvot͡stvə
хмелеводческий,xmʲɪlʲɪˈvot͡ɕːɪskʲɪɪ̯
хмелевой,xmʲɪlʲɪˈvoɪ̯
хмелеграб,xmʲɪlʲɪˈɡrap
хмелек,xmʲɪˈlʲɵk
хмелеть,xmʲɪˈlʲetʲ
хмелеуборочный,ˌxmʲelʲɪʊˈborət͡ɕnɨɪ̯
хмелина,xmʲɪˈlʲinə
хмелить,xmʲɪˈlʲitʲ
хмель,xmʲelʲ
хмельник,ˈxmʲelʲnʲɪk
хмельно,xmʲɪlʲˈno
хмельной,xmʲɪlʲˈnoɪ̯
хмелёк,xmʲɪˈlʲɵk
хмурить,ˈxmurʲɪtʲ
хмуриться,ˈxmurʲɪt͡sə
хмуро,ˈxmurə
хмуровато,xmʊrɐˈvatə
хмуроватый,xmʊrɐˈvatɨɪ̯
хмурость,ˈxmurəsʲtʲ
хмурый,ˈxmurɨɪ̯
хмурь,xmurʲ
хмурящий,ˈxmurʲɪɕːɪɪ̯
хмурящийся,ˈxmurʲɪɕːɪɪ̯sʲə
хмыкание,ˈxmɨkənʲɪɪ̯ə
хмыканье,ˈxmɨkənʲɪ̯ə
хмыкать,ˈxmɨkətʲ
хмыкнуть,ˈxmɨknʊtʲ
хмырь,xmɨrʲ
хна,xna
хны,xnɨ
хныкала,ˈxnɨkətʲ
хныканье,ˈxnɨkənʲɪ̯ə
хныкать,ˈxnɨkətʲ
хныкающий,ˈxnɨkəjʉɕːɪɪ̯
хныкнуть,ˈxnɨknʊtʲ
хнычущий,ˈxnɨt͡ɕʉɕːɪɪ̯
хтонический,xtɐˈnʲit͡ɕɪskʲɪɪ̯
хуацяо,xʊɐˈtʲ͡sʲao
худать,xʊˈdatʲ
худее,xʊˈdʲeɪ̯ə
худенький,ˈxudʲɪnʲkʲɪɪ̯
худеть,xʊˈdʲetʲ
худить,xʊˈdʲitʲ
худищий,xʊˈdʲiɕːɪɪ̯
худо,ˈxudə
худо-бедно,ˌxudə ˈbʲednə
худоба,xʊˈdobə
художественно,xʊˈdoʐɨstvʲɪn(ː)ə
художественно-документальный,xʊˌdoʐɨstvʲɪn(ː)ə dəkʊmʲɪnˈtalʲnɨɪ̯
художественно-конструкторский,xʊˌdoʐɨstvʲɪn(ː)ə kɐnˈstruktərskʲɪɪ̯
художественно-публицистический,xʊˌdoʐɨstvʲɪnːə pʊblʲɪt͡sɨˈsʲtʲit͡ɕɪskʲɪɪ̯
художественность,xʊˈdoʐɨstvʲɪn(ː)əsʲtʲ
художественный,xʊˈdoʐɨstvʲɪn(ː)ɨɪ̯
художество,xʊˈdoʐɨstvə
художник,xʊˈdoʐnʲɪk
художник-иллюстратор,xʊˈdoʐnʲɪk ɪlʲʊˈstratər
художник-модельер,xʊˈdoʐnʲɪk mədɛˈlʲjer
художник-оформитель,xʊˈdoʐnʲɪk ɐfɐrˈmʲitʲɪlʲ
художник-постановщик,xʊˈdoʐnʲɪk pəstɐˈnofɕːɪk
художница,xʊˈdoʐnʲɪt͡sə
художнически,xʊˈdoʐnʲɪt͡ɕɪskʲɪ
художнический,xʊˈdoʐnʲɪt͡ɕɪskʲɪɪ̯
художничество,xʊˈdoʐnʲɪt͡ɕɪstvə
худой,xʊˈdoɪ̯
худоконный,xʊdɐˈkonːɨɪ̯
худородный,xʊdɐˈrodnɨɪ̯
худородство,xʊdɐˈrot͡stvə
худосочие,xʊdɐˈsot͡ɕɪɪ̯ə
худосочный,xʊdɐˈsot͡ɕnɨɪ̯
худость,ˈxudəsʲtʲ
худотелый,xʊdɐˈtʲeɫɨɪ̯
худощавость,xʊdɐˈɕːavəsʲtʲ
худощавый,xʊdɐˈɕːavɨɪ̯
худрук,xʊˈdruk
худсовет,xʊt͡ssɐˈvʲet
худущий,xʊˈduɕːɪɪ̯
худший,ˈxut͡ʂʂɨɪ̯
худышка,xʊˈdɨʂkə
худющий,xʊˈdʲʉɕːɪɪ̯
хуеплёт,xʊ(ɪ̯)ɪˈplʲɵt
хуесос,xʊ(ɪ̯)ɪˈsos
хуета,xʊ(ɪ̯)ɪˈta
хуже,ˈxuʐə
хужеть,xʊˈʐɛtʲ
хуи,xʊɪ
хуй,xuɪ̯
хуйня,xʊɪ̯ˈnʲa
хук,xuk
хула,xʊˈɫa
хула-хуп,ˌxuɫə ˈxup
хулахуп,xʊɫɐˈxup
хуление,xʊˈlʲenʲɪɪ̯ə
хулиган,xʊlʲɪˈɡan
хулиганистый,xʊlʲɪˈɡanʲɪstɨɪ̯
хулиганить,xʊlʲɪˈɡanʲɪtʲ
хулиганка,xʊlʲɪˈɡankə
хулигански,xʊlʲɪˈɡanskʲɪ
хулиганский,xʊlʲɪˈɡanskʲɪɪ̯
хулиганство,xʊlʲɪˈɡanstvə
хулиганствовать,xʊlʲɪˈɡanstvəvətʲ
хулиганствующий,xʊlʲɪˈɡanstvʊjʉɕːɪɪ̯
хулиганье,xʊlʲɪɡɐˈnʲjɵ
хулиганьё,xʊlʲɪɡɐˈnʲjɵ
хулиганящий,xʊlʲɪˈɡanʲɪɕːɪɪ̯
хулитель,xʊˈlʲitʲɪlʲ
хулительница,xʊˈlʲitʲɪlʲnʲɪt͡sə
хулить,xʊˈlʲitʲ
хулённый,xʊˈlʲɵnːɨɪ̯
хунвейбин,xʊnvɛɪ̯ˈbʲin
хунну,ˈxunːʊ
хунта,ˈxuntə
хунтовский,ˈxuntəfskʲɪɪ̯
хунхуз,xʊnˈxus
хурал,xʊˈraɫ
хурма,xʊrˈma
хуррит,xʊˈrʲit
хурритский,xʊˈrʲit͡skʲɪɪ̯
хутба,ˈxudbə
хутор,ˈxutər
хуторишко,xʊtɐˈrʲiʂkə
хуторной,ˈxutərnɨɪ̯
хуторный,ˈxutərnɨɪ̯
хуторок,xʊtɐˈrok
хуторской,xʊtɐrˈskoɪ̯
хуторянин,xʊtɐˈrʲænʲɪn
хуторянка,xʊtɐˈrʲankə
хуту,ˈxutʊ
хухры-мухры,xʊˌxrɨ mʊˈxrɨ
хуцинь,xʊˈt͡sɨnʲ
хуэй,xʊˈɛɪ̯
хуякнуть,xʊˈjaknʊtʲ
хуястый,xʊˈjastɨɪ̯
хуёвый,xʊˈjɵvɨɪ̯
хэбэ,xɛˈbɛ
хэви-металл,ˌxɛvʲɪ ˈmʲetəɫ
хэдлайнер,xɛˈdɫaɪ̯nʲɪr
хэнд,xɛnt
хэппенинг,ˈxɛpʲɪnʲɪnk
хэш,xɛʂ
хянга,ˈxʲanɡə
ЦБ,t͡sɨˈbɛ
ЦК,t͡sɛˈka
ЦК,t͡sɛˈka
ЦП,t͡sɨˈpɛ
ЦПУ,t͡sɨpɛˈu
ЦРУ,t͡sɛrɛˈu
ЦТП,t͡sɨtɛˈpɛ
Цуканов,t͡sʊˈkanəf
Цусима,t͡sʊˈsʲimə
Цыбик,ˈt͡sɨbʲɪk
Цыбин,ˈt͡sɨbʲɪn
Цыганкин,t͡sɨˈɡankʲɪn
Цыганов,t͡sɨɡɐˈnof
Цыплаков,t͡sɨpɫɐˈkof
Цыцын,ˈt͡sɨt͡sɨn
Цюрих,ˈtʲ͡sʲʉrʲɪx
цзаофань,d͡zzɐɐˈfanʲ
цзяо,ˈdʲ͡zʲzʲao
цоизит,t͡səɪˈzʲit
цок,t͡sok
цоканье,ˈt͡sokənʲɪ̯ə
цокать,ˈt͡sokətʲ
цокнуть,ˈt͡soknʊtʲ
цоколь,ˈt͡sokəlʲ
цокольный,ˈt͡sokəlʲnɨɪ̯
цоколёвка,t͡səkɐˈlʲɵfkə
цокот,ˈt͡sokət
цокотание,t͡səkɐˈtanʲɪɪ̯ə
цокотанье,t͡səkɐˈtanʲɪ̯ə
цокотать,t͡səkɐˈtatʲ
цокотуха,t͡səkɐˈtuxə
цопать,ˈt͡sopətʲ
цопнуть,ˈt͡sopnʊtʲ
цуг,t͡suk
цуговой,t͡sʊɡɐˈvoɪ̯
цугом,ˈt͡suɡəm
цугундер,t͡sʊˈɡunʲdʲɪr
цугцванг,ˈt͡sukt͡svənk
цук,t͡suk
цуканье,t͡sʊˈkanʲɪ̯ə
цукат,t͡sʊˈkat
цукатный,t͡sʊˈkatnɨɪ̯
цукаты,t͡sʊˈkat
цукать,t͡sʊˈkatʲ
цукахара,t͡sʊkɐˈxarə
цукини,t͡sʊˈkʲinʲɪ
цунами,t͡sʊˈnamʲɪ
цунами-станция,t͡sʊˌnamʲɪ ˈstant͡sɨɪ̯ə
цунамиопасный,t͡sʊˌnamʲɪɐˈpasnɨɪ̯
цуцик,ˈt͡sut͡sɨk
цхинвалец,t͡sxʲɪnˈvalʲɪt͡s
цхинвальский,t͡sxʲɪnˈvalʲskʲɪɪ̯
цхинвальцы,t͡sxʲɪnˈvalʲɪt͡s
цы,t͡sɨ
цыган,t͡sɨˈɡan
цыгане,t͡sɨˈɡan
цыганистость,t͡sɨˈɡanʲɪstəsʲtʲ
цыганистый,t͡sɨˈɡanʲɪstɨɪ̯
цыганить,t͡sɨˈɡanʲɪtʲ
цыганка,t͡sɨˈɡankə
цыганочка,t͡sɨˈɡanət͡ɕkə
цыгански,t͡sɨˈɡanskʲɪ
цыганский,t͡sɨˈɡanskʲɪɪ̯
цыганствовать,t͡sɨˈɡanstvəvətʲ
цыганщина,t͡sɨˈɡanʲɕːɪnə
цыганёнок,t͡sɨɡɐˈnʲɵnək
цыканье,ˈt͡sɨkənʲɪ̯ə
цыкать,ˈt͡sɨkətʲ
цыкнуть,ˈt͡sɨknʊtʲ
цыновка,t͡sɨˈnofkə
цып-цып,ˌt͡sɨp ˈt͡sɨp
цыпа,ˈt͡sɨpə
цыпка,ˈt͡sɨpkə
цыпки,ˈt͡sɨpkʲɪ
цыпленок,t͡sɨˈplʲɵnək
цыплятина,t͡sɨˈplʲætʲɪnə
цыплятник,t͡sɨˈplʲætʲnʲɪk
цыплятница,t͡sɨˈplʲætʲnʲɪt͡sə
цыплячий,t͡sɨˈplʲæt͡ɕɪɪ̯
цыплёнок,t͡sɨˈplʲɵnək
цыплёночек,t͡sɨˈplʲɵnət͡ɕɪk
цыпонька,ˈt͡sɨpənʲkə
цыпочка,ˈt͡sɨpət͡ɕkə
цыпочки,ˈt͡sɨpət͡ɕkʲɪ
цыркать,ˈt͡sɨrkətʲ
цыркнуть,ˈt͡sɨrknʊtʲ
цыц,t͡sɨt͡s
цюрихец,ˈtʲ͡sʲʉrʲɪxʲɪt͡s
цюрихский,ˈtʲ͡sʲʉrʲɪxskʲɪɪ̯
цюрихцы,ˈtʲ͡sʲʉrʲɪxʲɪt͡s
цян,tʲ͡sʲan
ЧМ,t͡ɕɪˈɛm
ЧОН,t͡ɕɵn
ЧП,t͡ɕɪˈpɛ
ЧПУ,t͡ɕɪpɛˈu
ЧС,t͡ɕɪˈɛs
ЧЭЗ,t͡ɕɛs
Чкалов,ˈt͡ɕkaɫəf
Чохов,ˈt͡ɕɵxəf
Чёрный,ˈt͡ɕɵrnɨɪ̯
Чёртов,ˈt͡ɕɵrtəf
чваканье,ˈt͡ɕvakənʲɪ̯ə
чвакать,ˈt͡ɕvakətʲ
чваниться,ˈt͡ɕvanʲɪt͡sə
чванливо,t͡ɕvɐnˈlʲivə
чванливость,t͡ɕvɐnˈlʲivəsʲtʲ
чванливый,t͡ɕvɐnˈlʲivɨɪ̯
чванно,ˈt͡ɕvanːə
чванный,ˈt͡ɕvanːɨɪ̯
чванство,ˈt͡ɕvanstvə
чванящийся,ˈt͡ɕvanʲɪɕːɪɪ̯sʲə
чжурчжэньский,d͡ʐʐʊrˈd͡ʐʐɛnʲskʲɪɪ̯
чкаться,ˈt͡ɕkat͡sːə
член,t͡ɕlʲen
член-корреспондент,ˈt͡ɕlʲen kərʲɪspɐnʲˈdʲent
